Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,SPREAD_FT_-0.5,SPREAD_FT_-1.0,SPREAD_FT_-1.5,SPREAD_FT_-2.0,SPREAD_FT_0.0,SPREAD_FT_0.5,SPREAD_FT_1.0,SPREAD_FT_1.5,SPREAD_FT_2.0,SPREAD_FT_2.5,TOTAL_POINTS_FT_10.0,TOTAL_POINTS_FT_10.5,TOTAL_POINTS_FT_11.0,TOTAL_POINTS_FT_11.5,TOTAL_POINTS_FT_12.0,TOTAL_POINTS_FT_14.5,TOTAL_POINTS_FT_15.0,TOTAL_POINTS_FT_15.5,TOTAL_POINTS_FT_16.0,TOTAL_POINTS_FT_16.5,TOTAL_POINTS_FT_2.0,TOTAL_POINTS_FT_2.5,TOTAL_POINTS_FT_3.0,TOTAL_POINTS_FT_3.5,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_6.0,TOTAL_POINTS_FT_6.5,TOTAL_POINTS_FT_7.0,TOTAL_POINTS_FT_7.5,TOTAL_POINTS_FT_8.0,TOTAL_POINTS_FT_8.5,TOTAL_POINTS_FT_9.0,TOTAL_POINTS_FT_9.5,SPREAD_1H_-0.5,SPREAD_1H_-1.0,SPREAD_1H_0.0,SPREAD_1H_0.5,TOTAL_POINTS_1H_3.5,TOTAL_POINTS_1H_4.0,TOTAL_POINTS_1H_4.5,TOTAL_POINTS_1H_5.0,TOTAL_POINTS_1H_5.5
2024-12-06 21:48:49,1601778714,France - Ligue 2 Corners,2024-12-06T19:00:00Z,Red Star (Corners),Bastia (Corners),2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778702,France - Ligue 2 Corners,2024-12-06T19:00:00Z,Annecy (Corners),Clermont (Corners),3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778972,Belgium - Challenger Pro League Corners,2024-12-06T19:00:00Z,Deinze (Corners),RFC Seraing (Corners),0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778864,Belgium - Challenger Pro League Corners,2024-12-06T19:00:00Z,Club NXT (Corners),RSCA Futures (Corners),5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601780299,Italy - Serie A Corners,2024-12-06T19:45:00Z,Atalanta (Corners),AC Milan (Corners),2,0,"HomeOdds:1.751, AwayOdds:2.09","HomeOdds:2.04, AwayOdds:1.787","HomeOdds:2.38, AwayOdds:1.581","HomeOdds:3.1, AwayOdds:1.35","HomeOdds:1.483, AwayOdds:2.6",,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.377, UnderOdds:3.02","OverOdds:1.534, UnderOdds:2.52","OverOdds:1.877, UnderOdds:1.97","OverOdds:2.28, UnderOdds:1.641","OverOdds:2.7, UnderOdds:1.46",,,,,,,,,,,,,
2024-12-06 21:48:49,1601781442,Spain - La Liga Corners,2024-12-06T20:00:00Z,Celta Vigo (Corners),Mallorca (Corners),0,1,"HomeOdds:2.62, AwayOdds:1.473",,,,"HomeOdds:2.26, AwayOdds:1.645","HomeOdds:1.884, AwayOdds:1.943","HomeOdds:1.588, AwayOdds:2.36","HomeOdds:1.432, AwayOdds:2.76",,,,,,,,,,,,,,,,,,"OverOdds:1.487, UnderOdds:2.61","OverOdds:1.699, UnderOdds:2.19","OverOdds:2.05, UnderOdds:1.793","OverOdds:2.59, UnderOdds:1.51","OverOdds:3.03, UnderOdds:1.375",,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601779439,Germany - Bundesliga Corners,2024-12-06T19:30:00Z,Stuttgart (Corners),Union Berlin (Corners),1,6,"HomeOdds:1.704, AwayOdds:2.15","HomeOdds:2.05, AwayOdds:1.781","HomeOdds:2.47, AwayOdds:1.54","HomeOdds:3.39, AwayOdds:1.301","HomeOdds:1.416, AwayOdds:2.81",,,,,,"OverOdds:1.5, UnderOdds:2.61","OverOdds:1.884, UnderOdds:1.961","OverOdds:2.35, UnderOdds:1.606","OverOdds:2.83, UnderOdds:1.423",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.34, UnderOdds:3.21",,,,,,,,,
2024-12-06 21:48:49,1601780254,Spain - Primera RFEF Group 2 Corners,2024-12-06T19:30:00Z,Real Murcia (Corners),Real Madrid B (Corners),1,6,,,,,"HomeOdds:2.94, AwayOdds:1.363","HomeOdds:2.12, AwayOdds:1.689","HomeOdds:1.746, AwayOdds:2.04","HomeOdds:1.51, AwayOdds:2.46","HomeOdds:1.278, AwayOdds:3.41",,"OverOdds:1.775, UnderOdds:2.01","OverOdds:2.2, UnderOdds:1.636","OverOdds:2.98, UnderOdds:1.354",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.202, UnderOdds:4.07","OverOdds:1.502, UnderOdds:2.48",,,,,,,,,
2024-12-06 21:48:49,1601780252,Spain - Primera RFEF Group 1 Corners,2024-12-06T19:30:00Z,Real Sociedad II (Corners),Amorebieta (Corners),1,3,"HomeOdds:2.39, AwayOdds:1.54","HomeOdds:3.57, AwayOdds:1.256",,,"HomeOdds:1.943, AwayOdds:1.84","HomeOdds:1.598, AwayOdds:2.26","HomeOdds:1.311, AwayOdds:3.21",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.284, UnderOdds:3.37","OverOdds:1.625, UnderOdds:2.22","OverOdds:2.03, UnderOdds:1.751","OverOdds:2.56, UnderOdds:1.473","OverOdds:3.68, UnderOdds:1.242",,,,,,,,,,,,
2024-12-06 21:48:49,1601780221,Austria - 2. Liga Corners,2024-12-06T19:30:00Z,Kapfenberger SV (Corners),Admira Wacker (Corners),1,3,"HomeOdds:2.15, AwayOdds:1.666","HomeOdds:2.95, AwayOdds:1.361",,,"HomeOdds:1.735, AwayOdds:2.05","HomeOdds:1.483, AwayOdds:2.53","HomeOdds:1.243, AwayOdds:3.67",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.193, UnderOdds:4.18","OverOdds:1.473, UnderOdds:2.55","OverOdds:1.746, UnderOdds:2.04","OverOdds:2.2, UnderOdds:1.636","OverOdds:2.98, UnderOdds:1.354",,,,,,,,,,,,
2024-12-06 21:48:49,1601781372,France - Ligue 1 Corners,2024-12-06T20:00:00Z,Auxerre (Corners),Paris Saint-Germain (Corners),2,3,,,,,,"HomeOdds:2.8, AwayOdds:1.421","HomeOdds:2.41, AwayOdds:1.568","HomeOdds:1.98, AwayOdds:1.854","HomeOdds:1.709, AwayOdds:2.15","HomeOdds:1.534, AwayOdds:2.46","OverOdds:1.917, UnderOdds:1.934","OverOdds:2.25, UnderOdds:1.657","OverOdds:2.81, UnderOdds:1.429",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.384, UnderOdds:2.99","OverOdds:1.645, UnderOdds:2.28",,,,,,,,,
2024-12-06 21:48:49,1601779252,Switzerland - Challenge League Corners,2024-12-06T19:15:00Z,Thun (Corners),FC Wil (Corners),1,0,"HomeOdds:1.465, AwayOdds:2.58","HomeOdds:1.793, AwayOdds:1.98","HomeOdds:2.35, AwayOdds:1.555","HomeOdds:3.6, AwayOdds:1.252","HomeOdds:1.119, AwayOdds:5.51",,,,,,,,,,,,,,,,"OverOdds:1.166, UnderOdds:4.55","OverOdds:1.534, UnderOdds:2.4","OverOdds:1.97, UnderOdds:1.806","OverOdds:2.61, UnderOdds:1.456","OverOdds:3.98, UnderOdds:1.21",,,,,,,,,,,,,,,,,,,,
